COUNTRY_ID,COUNTRY_NAME,ISO_ALPHA_CODE,CONTINENT_ID,REGION_ID,LAT,LNG
260,Oman,OMN,30,1004,21.512583,55.923255
261,Qatar,QAT,30,1004,25.354826,51.183884
262,Saudi Arabia,SAU,30,1004,23.885942,45.079162
263,State of Palestine,PSE,30,1004,31.898043,35.204269
264,Syrian Arab Republic,SYR,30,1004,33.510414,36.278336
265,Türkiye,TUR,30,1004,41.015137,28.979530
266,United Arab Emirates,ARE,30,1004,25.276987,55.296249
267,Yemen,YEM,30,1004,15.552727,48.516388
268,Belarus,BLR,50,1001,53.709807,27.953389
269,Bulgaria,BGR,50,1001,.733883,25.48583
270,Czechia,CZE,50,1001,49.195061,16.606836
271,Hungary,HUN,50,1001,47.162494,19.503304
272,Poland,POL,50,1001,51.919438,19.145136
273,Republic of Moldova,MDA,50,1001,47.411631,28.369885
274,Romania,ROU,50,1001,45.943161,24.96676
275,Russian Federation,RUS,50,1001,60.0000,100.0000
276,Slovakia,SVK,50,1001,48.669026,19.699024
277,Ukraine,UKR,50,1001,48.379433,31.16558
278,Aland Islands,ALA,50,1001,60.1785247,19.91561
279,Guernsey,GGY,50,1001,49.465691,-2.585278
280,Jersey,JEY,50,1001,49.214439,-2.13125
281,Sark, ,50,1001,49.43331,-2.35622
282,Denmark,DNK,50,1001,56.26392,9.501785
283,Estonia,EST,50,1001,58.595272,25.013607
284,Faroe Islands,FRO,50,1001,61.892635,-6.911806
285,Finland,FIN,50,1001,61.92411,25.748151
286,Iceland,ISL,50,1001,64.963051,-19.020835
287,Ireland,IRL,50,1001,53.41291,-8.24389
288,Isle of Man,IMN,50,1001,54.236107,-4.548056
289,Latvia,LVA,50,1001,56.879635,24.603189
290,Lithuania,LTU,50,1001,55.169438,23.881275
291,Norway,NOR,50,1001,60.472024,8.468946
292,Svalbard and Jan Mayen Islands,SJM,50,1001,77.553604,23.670272
293,Sweden,SWE,50,1001,60.128161,18.643501
294,United Kingdom of Great Britain and Northern Ireland,GBR,50,1001,55.378051,-3.435973
295,Albania,ALB,50,1003,41.153332,20.168331
296,Andorra,AND,50,1003,42.546245,1.601554
297,Bosnia and Herzegovina,BIH,50,1003,43.915886,17.679076
298,Croatia,HRV,50,1003,45.1,15.2
299,Gibraltar,GIB,50,1003,36.137741,-5.345374
300,Greece,GRC,50,1003,39.074208,21.824312
301,Holy See,VAT,50,1003,41.902916,12.453389
302,Italy,ITA,50,1003,41.87194,12.56738
303,Malta,MLT,50,1003,35.937496,14.37541
304,Montenegro,MNE,50,1003,42.708678,19.37439
305,North Macedonia,MKD,50,1003,41.608635,21.745275
306,Portugal,PRT,50,1003,39.399872,-8.224454
307,San Marino,SMR,50,1003,43.94236,12.45777
308,Serbia,SRB,50,1003,44.016521,21.005859
309,Slovenia,SVN,50,1003,46.151241,14.995463
310,Spain,ESP,50,1003,40.463667,-3.74922
311,Austria,AUT,50,1003,47.516231,14.550072
312,Belgium,BEL,50,1003,50.503887,4.469936
313,France,FRA,50,1003,46.227638,2.213749
314,Germany,DEU,50,1003,51.165691,10.451526
315,Liechtenstein,LIE,50,1003,47.166,9.555373
316,Luxembourg,LUX,50,1003,49.815273,6.129583
317,Monaco,MCO,50,1003,43.750298,7.412841
318,Netherlands,NLD,50,1003,52.132633,5.291266
319,Switzerland,CHE,50,1003,46.818188,8.227512
320,Australia,AUS,60,1009,-25.274398,133.775136
321,Christmas Island,CXR,60,1009,-10.447525,105.690449
322,Cocos (Keeling) Islands,CCK,60,1009,-12.164165,96.870956
323,Heard Island and McDonald Islands,HMD,60,1009,-53.08181,73.504158
324,New Zealand,NZL,60,1009,-40.90055,174.885971
325,Norfolk Island,NFK,60,1009,-29.040835,167.954712
326,Fiji,FJI,60,1010,-16.578193,179.414413
327,New Caledonia,NCL,60,1010,-20.904305,165.618042
328,Papua New Guinea,PNG,60,1010,-6.314993,143.95555
329,Solomon Islands,SLB,60,1010,-9.64571,160.156194
330,Vanuatu,VUT,60,1010,-15.376706,166.959158
331,Guam,GUM,60,1010,13.444304,144.793731
332,Kiribati,KIR,60,1010,-3.370417,-168.734039
333,Marshall Islands,MHL,60,1010,7.131474,171.184478
334,Micronesia,FSM,60,1010,7.425554,150.550812
335,Nauru,NRU,60,1010,-0.522778,166.931503
336,Northern Mariana Islands,MNP,60,1010,17.33083,145.38469
337,Palau,PLW,60,1010,7.51498,134.58252
338,United States Minor Outlying Islands,UMI,60,1010,-0.374350,-159.996719
339,American Samoa,ASM,60,1011,-14.270972,-170.132217
340,Cook Islands,COK,60,1011,-21.236736,-159.777671
341,French Polynesia,PYF,60,1011,-17.679742,-149.406843
342,Niue,NIU,60,1011,-19.054445,-169.867233
343,Pitcairn,PCN,60,1011,-24.703615,-127.439308
344,Samoa,WSM,60,1011,-13.759029,-172.104629
345,Tokelau,TKL,60,1011,-8.967363,-171.855881
346,Tonga,TON,60,1011,-21.178986,-175.198242
347,Tuvalu,TUV,60,1011,-7.109535,177.64933
348,Wallis and Futuna Islands,WLF,60,1011,-13.2833,-176.1833
